"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"삼육대학교","대학","사립","서울","12835173747","12004628240","412735810","417809697","8106376015","1206246150","2496856250","1507926095","156966100","2738381420","20941549762"
"상명대학교","대학","사립","서울","22979377662","22502654802","66371902","410350958","18445892163","5948542979","6089487319","1069302415","174357600","5164201850","41425269825"
"상지대학교","대학","사립","강원","11528736200","11033606570","227928730","267200900","8049782054","2067514250","2378379860","123007300","207411000","3273469644","19578518254"
"서강대학교","대학","사립","서울","11629489672","9430116852","178046340","2021326480","10317281237","820256800","5860888755","1869557980","25110400","1741467302","21946770909"
"서경대학교","대학","사립","서울","10609977447","10446107247","68659200","95211000","8996919527","2384929499","3076181533","555530520","17922000","2962355975","19606896974"
"서울기독대학교","대학","사립","서울","1223089940","1208906740","4800000","9383200","884766660","177109400","217554200","285095960","","205007100","2107856600"
"서울디지털대학교","대학","사립","서울","7369836500","7364516500","4000000","1320000","4474965000","777059000","70767000","","10680000","3616459000","11844801500"
"서울사이버대학교","대학","사립","서울","10400272350","10376007750","9000000","15264600","6633873432","509600000","73557900","","8482500","6042233032","17034145782"
"서울신학대학교","대학","사립","경기","7201291748","7058754148","4700600","137837000","3099896288","366590500","1497153467","311472122","22373900","902306299","10301188036"
"서울여자대학교","대학","사립","서울","13796324589","12903218345","119157890","773948354","9243590533","2049337800","4946843769","605396875","7665800","1634346289","23039915122"
"서울장신대학교","대학","사립","경기","1652481740","1605004740","1900000","45577000","600979180","67864500","273249000","70338180","","189527500","2253460920"
"서울한영대학교","대학","사립","서울","2070039900","2012783900","16612000","40644000","550603280","83450550","189013000","57513470","","220626260","2620643180"
"서원대학교","대학","사립","충북","15572864140","15097944120","110478120","364441900","8292561220","2088131000","479072000","1140756030","117335200","4467266990","23865425360"
"선문대학교","대학","사립","충남","22907893859","19988303199","77887300","2841703360","12333165871","1582955600","3194732430","797378970","289532000","6468566871","35241059730"
"성결대학교","대학","사립","경기","10682393338","10562059418","33541720","86792200","6625167365","2512498523","798022000","892970840","29475000","2392201002","17307560703"
"성공회대학교","대학","사립","서울","4915361623","4823378713","17739610","74243300","2654200185","638995970","1259834410","191552805","18293800","545523200","7569561808"
"성균관대학교","대학","사립","서울","25995455056","22872078486","173044630","2950331940","39028783165","16100057470","10070822170","1777830442","10853000","11069220083","65024238221"
"성신여자대학교","대학","사립","서울","16782981906","16236239156","87004904","459737846","16350362581","6872639800","4554919474","735961060","14563600","4172278647","33133344487"
"세명대학교","대학","사립","충북","18364508950","17429566210","659122180","275820560","10091097380","2534290770","1080247750","486426200","99501500","5890631160","28455606330"
"세종대학교","대학","사립","서울","18655773340","18290017440","28846171","336909729","17511831470","2752089000","9355116000","1051105570","24945000","4328575900","36167604810"
"세종사이버대학교","대학","사립","서울","10903306050","10885130050","5400000","12776000","4400908499","109460000","","51412166","123560000","4116476333","15304214549"
"세한대학교","대학","사립","전남","8535208220","8265073020","6599900","263535300","3280048570","923221800","916949000","91038370","18188000","1330651400","11815256790"
"송원대학교","대학","사립","광주","7285221380","7211051380","","74170000","2962861320","762293750","86677600","139207610","44860000","1929822360","10248082700"
"수원가톨릭대학교","대학","사립","경기","477705900","255922400","","221783500","662884067","34149900","7600000","","","621134167","1140589967"
"수원대학교","대학","사립","경기","15774448640","15608528340","14758300","151162000","13411527160","4751377500","4879134000","470837920","8485000","3301692740","29185975800"
"숙명여자대학교","대학","사립","서울","16782754993","15263940333","125885199","1392929461","15687728271","8347375976","3510678994","899471710","35419400","2894782191","32470483264"
"순복음총회신학교","대학","사립","충북","640527500","640527500","","","194318160","3020000","","12048160","","179250000","834845660"
"순천향대학교","대학","사립","충남","24164362850","23354875030","38755580","770732240","16738885625","5633976170","4314019710","691196465","152041000","5947652280","40903248475"
"숭실대학교","대학","사립","서울","25173020420","22513613450","241840250","2417566720","15096908611","3869167500","3232929000","1339902450","101953000","6552956661","40269929031"
"숭실사이버대학교","대학","사립","서울","6759683167","6751223167","2000000","6460000","3976396333","206164000","37800000","50000","116830500","3615551833","10736079500"
"신경대학교","대학","사립","경기","549421240","485095740","26569500","37756000","627180970","159871160","52473850","38877910","4158000","371800050","1176602210"
"신라대학교","대학","사립","부산","19584101446","19112714766","98424000","372962680","9211812940","2175963260","1780047102","711887900","107050000","4436864678","28795914386"
"신한대학교","대학","사립","경기","14394971290","14246617790","64393500","83960000","9670167524","2134794640","2979952750","432293850","118637840","4004488444","24065138814"
"아세아연합신학대학교","대학","사립","경기","2245741830","2133505230","5778000","106458600","703311720","139645830","106424000","118326390","","338915500","2949053550"
